pgn_file,white,black,result,moves,top1_accuracy,top3_accuracy,top5_accuracy,avg_rank,median_rank,avg_confidence
standard16klinesover2000.pgn,noory,SergeZ,1-0,111,0.08108108108108109,0.22522522522522523,0.3153153153153153,16.756756756756758,15,0.15387934640195253
standard16klinesover2000.pgn,SergeZ,noory,1-0,57,0.017543859649122806,0.08771929824561403,0.21052631578947367,18.0,15,0.1548744910486879
standard16klinesover2000.pgn,MichaelOgbeide,blore,1/2-1/2,57,0.07017543859649122,0.17543859649122806,0.24561403508771928,15.12280701754386,16,0.1465713707256939
standard16klinesover2000.pgn,Hutnik,ArasanX,1/2-1/2,48,0.0625,0.16666666666666666,0.22916666666666666,17.395833333333332,14,0.15370099666135212
standard16klinesover2000.pgn,blore,MichaelOgbeide,1-0,115,0.12173913043478261,0.20869565217391303,0.2956521739130435,13.608695652173912,13,0.15921426890761653
standard16klinesover2000.pgn,ArasanX,exeComp,1-0,141,0.04964539007092199,0.12056737588652482,0.16312056737588654,19.879432624113477,19,0.17328600034214942
standard16klinesover2000.pgn,Hutnik,disposable,1-0,57,0.21052631578947367,0.3333333333333333,0.38596491228070173,14.578947368421053,13,0.166284518768447
standard16klinesover2000.pgn,MichaelOgbeide,blore,1-0,101,0.12871287128712872,0.18811881188118812,0.26732673267326734,12.198019801980198,10,0.15706629137649036
standard16klinesover2000.pgn,disposable,Hutnik,0-1,54,0.14814814814814814,0.3148148148148148,0.35185185185185186,13.166666666666666,9,0.16830461513371534
standard16klinesover2000.pgn,blore,MichaelOgbeide,1-0,39,0.02564102564102564,0.07692307692307693,0.15384615384615385,16.743589743589745,16,0.14989198825433997
standard16klinesover2000.pgn,sentiger,GriffyJr,0-1,70,0.05714285714285714,0.17142857142857143,0.2571428571428571,17.62857142857143,17,0.15234376201483657
standard16klinesover2000.pgn,GriffyJr,sentiger,1-0,103,0.11650485436893204,0.2524271844660194,0.33980582524271846,12.601941747572816,11,0.1605759086990072
standard16klinesover2000.pgn,MichaelOgbeide,blore,1-0,117,0.07692307692307693,0.20512820512820512,0.29914529914529914,13.632478632478632,10,0.14821167471258176
standard16klinesover2000.pgn,Hutnik,disposable,1-0,31,0.06451612903225806,0.12903225806451613,0.16129032258064516,16.93548387096774,19,0.14499278757750436
standard16klinesover2000.pgn,sentiger,GriffyJr,1-0,61,0.08196721311475409,0.21311475409836064,0.26229508196721313,15.262295081967213,13,0.16938266164409055
standard16klinesover2000.pgn,GriffyJr,sentiger,1-0,31,0.1935483870967742,0.2903225806451613,0.45161290322580644,12.96774193548387,10,0.15282460415360827
standard16klinesover2000.pgn,sentiger,GriffyJr,0-1,40,0.0,0.15,0.225,18.275,19,0.15862203866086882
standard16klinesover2000.pgn,GriffyJr,sentiger,0-1,60,0.03333333333333333,0.16666666666666666,0.25,17.016666666666666,18,0.1677933357458927
standard16klinesover2000.pgn,disposable,Hutnik,0-1,42,0.09523809523809523,0.2857142857142857,0.42857142857142855,11.666666666666666,9,0.1752715894615894
standard16klinesover2000.pgn,Hutnik,disposable,1-0,51,0.21568627450980393,0.3333333333333333,0.47058823529411764,12.137254901960784,7,0.19784393424539198
standard16klinesover2000.pgn,disposable,Hutnik,0-1,50,0.18,0.24,0.3,14.72,10,0.15697094226671715
standard16klinesover2000.pgn,blore,MichaelOgbeide,1/2-1/2,59,0.01694915254237288,0.1016949152542373,0.1864406779661017,14.88135593220339,15,0.14903895301262338
standard16klinesover2000.pgn,exeComp,ArasanX,1/2-1/2,138,0.15942028985507245,0.3333333333333333,0.4492753623188406,11.094202898550725,7,0.15779905604162026
standard16klinesover2000.pgn,hastrman,Achonk,1-0,17,0.0,0.11764705882352941,0.11764705882352941,17.352941176470587,17,0.12786629098346444
standard16klinesover2000.pgn,ArasanX,Hutnik,0-1,108,0.12962962962962962,0.2222222222222222,0.28703703703703703,14.74074074074074,13,0.16363488047304284
standard16klinesover2000.pgn,Aromas,GriffyJr,1-0,47,0.1276595744680851,0.19148936170212766,0.2553191489361702,16.361702127659573,18,0.1599379847081375
standard16klinesover2000.pgn,Vitiello,blore,0-1,158,0.13291139240506328,0.2911392405063291,0.3924050632911392,11.664556962025317,9,0.15111345750481583
standard16klinesover2000.pgn,Knightsmasher,MrVali,1-0,27,0.0,0.0,0.14814814814814814,16.11111111111111,14,0.1539657889575206
standard16klinesover2000.pgn,MrVali,Knightsmasher,0-1,36,0.1111111111111111,0.19444444444444445,0.3055555555555556,15.166666666666666,14,0.13974587248553372
standard16klinesover2000.pgn,GriffySr,Floerkeli,1-0,71,0.09859154929577464,0.22535211267605634,0.29577464788732394,16.64788732394366,17,0.1616724014854488
standard16klinesover2000.pgn,Floerkeli,GriffyJr,0-1,62,0.04838709677419355,0.11290322580645161,0.20967741935483872,21.112903225806452,24,0.15359950484300164
