baseline_time,baseline_eval,eval_0.001s,error_0.001s,best_move_match_0.001s,eval_0.005s,error_0.005s,best_move_match_0.005s,eval_0.01s,error_0.01s,best_move_match_0.01s,eval_0.05s,error_0.05s,best_move_match_0.05s,eval_0.1s,error_0.1s,best_move_match_0.1s,eval_0.2s,error_0.2s,best_move_match_0.2s,eval_0.5s,error_0.5s,best_move_match_0.5s
1.0,0.26,0.25,-0.010000000000000009,True,0.26,0.0,True,0.27,0.010000000000000009,True,0.25,-0.010000000000000009,True,0.28,0.020000000000000018,True,0.25,-0.010000000000000009,True,0.33,0.07,True
1.0,0.37,0.2,-0.16999999999999998,False,0.17,-0.19999999999999998,False,0.16,-0.21,True,0.16,-0.21,True,0.17,-0.19999999999999998,False,0.31,-0.06,False,0.27,-0.09999999999999998,True
1.0,0.28,0.25,-0.030000000000000027,False,0.44,0.15999999999999998,False,0.43,0.14999999999999997,False,0.5,0.21999999999999997,True,0.43,0.14999999999999997,True,0.37,0.08999999999999997,True,0.25,-0.030000000000000027,True
1.0,0.44,0.41,-0.030000000000000027,True,0.39,-0.04999999999999999,False,0.37,-0.07,True,0.49,0.04999999999999999,True,0.41,-0.030000000000000027,True,0.44,0.0,True,0.45,0.010000000000000009,True
1.0,0.41,0.51,0.10000000000000003,True,0.66,0.25000000000000006,True,0.44,0.030000000000000027,True,0.71,0.3,False,0.57,0.15999999999999998,False,0.56,0.15000000000000008,False,0.51,0.10000000000000003,False
1.0,0.44,0.47,0.02999999999999997,True,0.46,0.020000000000000018,True,0.47,0.02999999999999997,True,0.41,-0.030000000000000027,True,0.41,-0.030000000000000027,True,0.5,0.06,True,0.44,0.0,False
1.0,0.46,0.74,0.27999999999999997,True,0.69,0.22999999999999993,True,0.55,0.09000000000000002,True,0.58,0.11999999999999994,True,0.42,-0.040000000000000036,True,0.62,0.15999999999999998,True,0.63,0.16999999999999998,True
1.0,0.87,1.03,0.16000000000000003,True,1.02,0.15000000000000002,True,0.91,0.040000000000000036,True,0.94,0.06999999999999995,True,0.91,0.040000000000000036,True,1.19,0.31999999999999995,True,0.87,0.0,True
1.0,0.5,0.42,-0.08000000000000002,True,0.62,0.12,True,0.37,-0.13,True,0.49,-0.010000000000000009,True,0.42,-0.08000000000000002,True,0.6,0.09999999999999998,True,0.54,0.040000000000000036,True
1.0,0.97,1.02,0.050000000000000044,True,1.1,0.13000000000000012,True,1.15,0.17999999999999994,True,0.95,-0.020000000000000018,True,1.07,0.10000000000000009,True,0.91,-0.05999999999999994,True,1.0,0.030000000000000027,True
